,Size,Components,l,pol,class,Marg. Likelihood,Modified Prior,accTrain,accTest,f1Train,f1Test,timeCV,timeML,timepost
0,10000,2,True,1,RL,-2710.90620470211,flat,0.915099867685935,0.612736493075873,0.91721773205976,0.629444150673427,206.320684829028,15.6393284359947,80.5048685399816
1,10000,2,True,2,RL,-1717.69912644336,flat,0.940699868003904,0.627299915480138,0.944223587519576,0.616568007758938,545.852495550993,15.8552455790341,129.89166687103
2,10000,2,True,3,RL,-1706.46635208215,flat,0.940999855508591,0.631265847474156,0.945279615153337,0.622918121073103,717.837606330984,15.7457555449801,169.947193723056
3,10000,4,True,1,RL,-1306.85624721849,flat,0.963924958920702,0.639945387165984,0.964619164619164,0.651851386182184,505.104790796991,15.4487658300204,125.21731813997
4,10000,4,True,2,RL,-779.232390275619,flat,0.979749959123046,0.666406605552305,0.980905752753978,0.694637862286496,945.673146076966,16.4223916109186,225.77929850691
5,10000,4,True,3,RL,-707.50047294219,flat,0.982199977902734,0.675801313308628,0.983470062446431,0.70372240872226,1290.04420843604,16.221620509983,312.988455596962
6,10000,6,True,1,RL,-1114.10041417717,flat,0.970749980882031,0.634809180157337,0.972001467172026,0.639381099126862,695.988951933919,15.731812076061,169.619999171002
7,10000,6,True,2,RL,-688.020389202504,flat,0.98187497790039,0.665658929848514,0.983104799216454,0.682080924855491,1304.78557285795,16.4053213769803,327.957361074979
8,10000,6,True,3,RL,-643.83675626363,flat,0.98342500604375,0.673200702165009,0.984826235927558,0.687105107535248,2001.55780064,17.2829562779516,467.383722393075
9,10000,8,True,1,RL,-1103.22113685457,flat,0.970974990258984,0.633476366946232,0.97186200146807,0.637820821688992,889.509297300014,16.0659849590156,217.115692786989
10,10000,8,True,2,RL,-684.609291198491,flat,0.982200012279688,0.664131070801638,0.983237489294017,0.680262424955128,1703.31720603094,16.9960060260491,414.190037560998
11,10000,8,True,3,RL,-645.514024021199,flat,0.984225012302344,0.671737858396723,0.985439862963416,0.686514342481063,2587.82317137101,18.4530517209787,625.074342772947
12,10000,10,True,1,RL,-985.712558051678,flat,0.974974993434375,0.644626487224498,0.975370665359637,0.642488063313493,1083.28892940411,16.0041001409991,264.812158171088
13,10000,10,True,2,RL,-609.291057273774,flat,0.983750006046094,0.682595409921331,0.984056904586706,0.694493116395494,2111.06305042398,17.5974478359567,512.831780559965
14,10000,10,True,3,RL,-561.674959775959,flat,0.98587502794961,0.692510239906378,0.98662412565959,0.705556420233463,3251.55896031205,19.7126844719751,787.135781844961
15,10000,12,True,1,RL,-749.518073213884,flat,0.981125037261719,0.655971653338535,0.98135426889107,0.658006139925675,1282.64194152504,16.2701794310706,313.686014148057
16,10000,12,True,2,RL,-554.103280091574,flat,0.985550037319532,0.676841557766075,0.985645933014354,0.682690159277347,2582.56838685798,18.3848049980588,623.648349242983
17,10000,12,True,3,RL,-529.796839407093,flat,0.98727503421836,0.69140498017034,0.987972508591065,0.702628199104094,4050.27723795106,21.0132453059778,958.940634520026
18,10000,14,True,1,RL,-750.2760135262,flat,0.980900015383204,0.657564527664001,0.981113563895021,0.660718886884824,1489.18372771097,16.4618784179911,365.315163596999
19,10000,14,True,2,RL,-540.078622875739,flat,0.985650018569531,0.679312138352513,0.986140071139458,0.689320694107643,3043.16703354497,19.00796068809,731.161410783068
20,10000,14,True,3,RL,-514.227624523158,flat,0.987800006098438,0.689909628762759,0.98857914773425,0.709327482707134,4720.26466458302,22.8935116089415,1133.92683347
21,10000,16,True,1,RL,-716.103347402337,flat,0.982175006025,0.653013458162668,0.982718470400784,0.651813674321503,1797.94734346902,17.3160021409858,445.65579723008
22,10000,16,True,2,RL,-493.340827579813,flat,0.986975031086719,0.670827644496457,0.987108655616943,0.671425790122656,3573.46456901496,20.053015477024,877.713153903955
23,10000,16,True,3,RL,-475.339657176189,flat,0.988699990484765,0.682075287692608,0.989427096139661,0.693359252523986,5701.35037857795,24.5451304329326,1347.03200749599
24,10000,18,True,1,RL,-624.714619579627,flat,0.9833249872875,0.644919055978155,0.983690987124464,0.643679660740499,1916.19644267601,17.1571321759839,461.268915476045
25,10000,18,True,2,RL,-453.436903313428,flat,0.988575012357032,0.672127950068266,0.989194499017681,0.675941395707493,4074.81484850403,20.9829667770537,971.274999858928
26,10000,18,True,3,RL,-445.310374657042,flat,0.989549993619531,0.674631038293999,0.990288875230486,0.684646649232805,6318.87121814792,26.9196992310462,1520.12700715894
27,10000,20,True,1,RL,-550.282804969685,flat,0.985699987318749,0.632631168324556,0.986614269925089,0.628952293397249,2197.61545445304,18.7268529959256,534.321161378059
28,10000,20,True,2,RL,-422.917112031835,flat,0.98964996236875,0.662505688836877,0.990665684107099,0.663925935517286,4436.27660887002,22.0673344779061,1045.62717241596
29,10000,20,True,3,RL,-422.80574637344,flat,0.990100012375782,0.652233274819583,0.990403543307087,0.658864795918367,6871.31184186903,28.6417329510441,1642.18286625692
